model	effort	stream	run_n	wall_s	output_tokens	ttft_s
gpt-5.4-mini	low	off	1	8.151	298	1.318
gpt-5.4-mini	low	off	2	6.207	255	0.361
gpt-5.4-mini	low	off	3	7.129	281	0.349
gpt-5.4-mini	low	on	1	8.628	387	8.647
gpt-5.4-mini	low	on	2	7.452	373	7.471
gpt-5.4-mini	low	on	3	7.120	409	7.139
gpt-5.4-mini	medium	off	1	13.705	1097	0.319
gpt-5.4-mini	medium	off	2	7.055	282	0.332
gpt-5.4-mini	medium	off	3	11.009	1028	0.320
gpt-5.4-mini	medium	on	1	8.331	467	8.350
gpt-5.4-mini	medium	on	2	10.734	570	10.752
gpt-5.4-mini	medium	on	3	13.702	784	13.722
gpt-5.4-mini	high	off	1	7.945	301	0.326
gpt-5.4-mini	high	off	2	8.865	306	0.310
gpt-5.4-mini	high	off	3	15.737	1072	0.328
gpt-5.4-mini	high	off	4	14.332	763	0.322
gpt-5.4-mini	high	off	5	12.927	583	0.336
gpt-5.4-mini	high	on	1	14.652	1303	14.671
gpt-5.4-mini	high	on	2	10.280	811	10.300
gpt-5.4-mini	high	on	3	22.195	2332	22.214
gpt-5.4-mini	high	on	4	26.641	2037	26.661
gpt-5.4-mini	high	on	5	17.205	1821	17.224
gpt-5.4	low	off	1	12.836	280	0.325
gpt-5.4	low	off	2	11.594	272	0.324
gpt-5.4	low	off	3	13.043	282	0.328
gpt-5.4	low	on	1	7.396	447	7.415
gpt-5.4	low	on	2	8.268	359	8.288
gpt-5.4	low	on	3	11.012	799	11.032
gpt-5.4	medium	off	1	13.104	268	0.319
gpt-5.4	medium	off	2	9.868	282	0.326
gpt-5.4	medium	off	3	10.936	276	0.330
gpt-5.4	medium	on	1	11.950	1251	11.969
gpt-5.4	medium	on	2	16.770	1886	16.789
gpt-5.4	medium	on	3	10.280	797	10.300
gpt-5.4	high	off	1	23.907	1089	0.332
gpt-5.4	high	off	2	24.981	1110	0.366
gpt-5.4	high	off	3	21.950	760	0.347
gpt-5.4	high	on	1	10.924	801	10.943
gpt-5.4	high	on	2	14.881	1427	14.900
gpt-5.4	high	on	3	18.064	2113	18.083
gpt-5.3-codex-spark	low	off	1	8.225	357	0.330
gpt-5.3-codex-spark	low	off	2	7.991	4849	0.312
gpt-5.3-codex-spark	low	off	3	9.919	7734	0.317
gpt-5.3-codex-spark	low	off	4	8.711	3801	0.336
gpt-5.3-codex-spark	low	off	5	12.115	366	0.314
gpt-5.3-codex-spark	low	on	1	8.440	1813	8.459
gpt-5.3-codex-spark	low	on	2	11.477	4938	11.495
gpt-5.3-codex-spark	low	on	3	5.453	1237	5.472
gpt-5.3-codex-spark	low	on	4	16.238	6018	16.257
gpt-5.3-codex-spark	low	on	5	12.751	2842	12.770
gpt-5.5	low	off	1	12.764	261	0.322
gpt-5.5	low	off	2	10.656	263	0.364
gpt-5.5	low	off	3	14.457	271	0.321
gpt-5.5	low	on	1	14.917	252	0.319
gpt-5.5	low	on	2	12.461	273	0.338
gpt-5.5	low	on	3	14.293	270	0.322
gpt-5.5	low	xon	1	11.509	324	11.529
gpt-5.5	low	xon	2	11.286	328	11.306
gpt-5.5	low	xon	3	11.775	295	11.794
gpt-5.5	medium	off	1	14.085	266	0.328
gpt-5.5	medium	off	2	13.875	376	0.327
gpt-5.5	medium	off	3	21.060	760	0.314
gpt-5.5	medium	on	1	11.574	279	0.320
gpt-5.5	medium	on	2	15.755	736	0.320
gpt-5.5	medium	on	3	12.009	261	0.328
gpt-5.5	medium	xon	1	19.814	1026	19.832
gpt-5.5	medium	xon	2	18.235	767	18.253
gpt-5.5	medium	xon	3	22.406	1292	22.425
gpt-5.5	high	off	1	22.416	761	0.335
gpt-5.5	high	off	2	24.429	1105	0.361
gpt-5.5	high	off	3	27.165	1129	0.346
gpt-5.5	high	on	1	18.116	1084	0.314
gpt-5.5	high	on	2	16.796	747	0.319
gpt-5.5	high	on	3	19.589	1241	0.319
gpt-5.5	high	xon	1	36.399	1676	36.417
gpt-5.5	high	xon	2	30.919	1610	30.938
gpt-5.5	high	xon	3	26.392	1428	26.410
gpt-5.5	xhigh	off	1	26.007	1100	0.320
gpt-5.5	xhigh	off	2	31.351	1468	0.321
gpt-5.5	xhigh	off	3	35.322	1561	0.321
gpt-5.5	xhigh	on	1	20.460	1183	0.357
gpt-5.5	xhigh	on	2	23.793	1197	0.304
gpt-5.5	xhigh	on	3	18.193	1125	0.314
gpt-5.5	xhigh	xon	1	43.066	2153	43.084
gpt-5.5	xhigh	xon	2	62.621	3583	62.639
gpt-5.5	xhigh	xon	3	35.998	2056	36.016
