model	effort	stream	run_n	wall_s	output_tokens	ttft_s
gpt-5.4-mini	low	off	1	7.709	285	0.536
gpt-5.4-mini	low	off	2	8.361	243	0.526
gpt-5.4-mini	low	off	3	6.336	268	0.337
gpt-5.4-mini	low	on	1	8.034	382	8.053
gpt-5.4-mini	low	on	2	7.652	374	7.672
gpt-5.4-mini	low	on	3	10.044	401	10.065
gpt-5.4-mini	medium	off	1	8.338	291	0.331
gpt-5.4-mini	medium	off	2	12.271	1065	0.342
gpt-5.4-mini	medium	off	3	13.090	1066	0.333
gpt-5.4-mini	medium	on	1	9.895	796	9.915
gpt-5.4-mini	medium	on	2	14.549	1482	14.569
gpt-5.4-mini	medium	on	3	14.562	815	14.582
gpt-5.4-mini	high	off	1	6.661	278	0.338
gpt-5.4-mini	high	off	2	7.113	307	0.352
gpt-5.4-mini	high	off	3	7.462	304	0.329
gpt-5.4-mini	high	off	4	18.112	1918	0.343
gpt-5.4-mini	high	off	5	7.176	300	0.507
gpt-5.4-mini	high	on	1	12.997	1281	13.017
gpt-5.4-mini	high	on	2	14.772	784	14.792
gpt-5.4-mini	high	on	3	12.050	677	12.070
gpt-5.4-mini	high	on	4	9.158	714	9.178
gpt-5.4-mini	high	on	5	11.292	842	11.312
gpt-5.4	low	off	1	11.508	262	0.388
gpt-5.4	low	off	2	11.271	272	0.333
gpt-5.4	low	off	3	9.659	267	0.339
gpt-5.4	low	on	1	7.721	419	7.740
gpt-5.4	low	on	2	9.484	376	9.503
gpt-5.4	low	on	3	9.522	822	9.541
gpt-5.4	medium	off	1	10.320	278	0.364
gpt-5.4	medium	off	2	12.468	285	0.321
gpt-5.4	medium	off	3	10.099	268	0.344
gpt-5.4	medium	on	1	18.793	796	18.813
gpt-5.4	medium	on	2	10.807	767	10.827
gpt-5.4	medium	on	3	10.241	784	10.260
gpt-5.4	high	off	1	25.348	1040	0.336
gpt-5.4	high	off	2	24.778	1047	0.376
gpt-5.4	high	off	3	22.620	1010	0.332
gpt-5.4	high	on	1	20.111	1698	20.130
gpt-5.4	high	on	2	26.722	1402	26.742
gpt-5.4	high	on	3	30.091	2933	30.111
gpt-5.3-codex-spark	low	off	1	6.530	2703	0.331
gpt-5.3-codex-spark	low	off	2	7.701	3417	0.349
gpt-5.3-codex-spark	low	off	3	7.687	4294	0.350
gpt-5.3-codex-spark	low	off	4	8.133	1427	0.343
gpt-5.3-codex-spark	low	off	5	4.738	329	0.330
gpt-5.3-codex-spark	low	on	1	8.380	4862	8.399
gpt-5.3-codex-spark	low	on	2	10.015	5637	10.035
gpt-5.3-codex-spark	low	on	3	9.411	5525	9.431
gpt-5.3-codex-spark	low	on	4	12.646	8959	12.666
gpt-5.3-codex-spark	low	on	5	10.322	3553	10.342
gpt-5.5	low	off	1	11.304	268	0.353
gpt-5.5	low	off	2	12.895	263	0.398
gpt-5.5	low	off	3	15.920	257	0.332
gpt-5.5	low	on	1	17.026	1023	0.366
gpt-5.5	low	on	2	10.695	275	0.330
gpt-5.5	low	on	3	10.050	238	0.536
gpt-5.5	medium	off	1	13.867	288	0.402
gpt-5.5	medium	off	2	14.221	263	0.379
gpt-5.5	medium	off	3	22.432	764	0.376
gpt-5.5	medium	on	1	9.958	262	0.400
gpt-5.5	medium	on	2	12.806	259	0.352
gpt-5.5	medium	on	3	16.825	726	0.338
gpt-5.5	high	off	1	22.962	826	0.495
gpt-5.5	high	off	2	23.615	1029	0.335
gpt-5.5	high	off	3	20.178	750	0.339
gpt-5.5	high	on	1	17.218	1012	0.338
gpt-5.5	high	on	2	16.849	761	0.339
gpt-5.5	high	on	3	18.273	1127	0.392
gpt-5.5	xhigh	off	1	29.344	1218	0.369
gpt-5.5	xhigh	off	2	29.375	1210	0.367
gpt-5.5	xhigh	off	3	27.043	1172	0.378
gpt-5.5	xhigh	on	1	20.321	1213	0.351
gpt-5.5	xhigh	on	2	14.979	755	0.354
gpt-5.5	xhigh	on	3	19.859	1053	0.359
gpt-5.5	low	xon	1	15.610	297	15.630
gpt-5.5	low	xon	2	11.142	284	11.162
gpt-5.5	low	xon	3	11.824	311	11.844
gpt-5.5	medium	xon	1	15.051	783	15.071
gpt-5.5	medium	xon	2	22.127	1276	22.148
gpt-5.5	medium	xon	3	20.472	955	20.493
gpt-5.5	high	xon	1	20.139	1279	20.160
gpt-5.5	high	xon	2	21.991	948	22.011
gpt-5.5	high	xon	3	32.440	1432	32.459
gpt-5.5	xhigh	xon	1	37.076	2072	37.096
gpt-5.5	xhigh	xon	2	43.918	2195	43.938
gpt-5.5	xhigh	xon	3	28.143	1838	28.163
